id,name,details,sample
1,SK_ID_PREV,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) [Metadata note: hashed.]",2388655
2,SK_ID_CURR,ID of loan in our sample [Metadata note: hashed.],414811
3,NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",Consumer loans
4,AMT_ANNUITY,Annuity of previous application,14152.545
5,AMT_APPLICATION,For how much credit did client ask on the previous application,153387.0
6,AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",138046.5
7,AMT_DOWN_PAYMENT,Down payment on the previous application,15340.5
8,AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,153387.0
9,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,THURSDAY
10,HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application [Metadata note: rounded.],9
11,FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,Y
12,NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,1
13,RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit [Metadata note: normalized.],0.10892187141615058
14,RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit [Metadata note: normalized.],0.6956675733877368
15,RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit [Metadata note: normalized.],0.5687103594080338
16,NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,XAP
17,NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application",Approved
18,DAYS_DECISION,Relative to current application when was the decision about previous application made [Metadata note: time only relative to the application.],-690
19,NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,Cash through the bank
20,CODE_REJECT_REASON,Why was the previous application rejected,XAP
21,NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,Family
22,NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,New
23,NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,Construction Materials
24,NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, …",POS
25,NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,XNA
26,CHANNEL_TYPE,Through which channel we acquired the client on the previous application,Stone
27,SELLERPLACE_AREA,Selling area of seller place of the previous application,30
28,NAME_SELLER_INDUSTRY,The industry of the seller,Construction
29,CNT_PAYMENT,Term of previous credit at application of the previous application,12.0
30,NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application [Metadata note: grouped.],middle
31,PRODUCT_COMBINATION,Detailed product combination of the previous application,POS industry with interest
32,DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application [Metadata note: time only relative to the application.],365243.0
33,DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application [Metadata note: time only relative to the application.],-659.0
34,DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application [Metadata note: time only relative to the application.],-329.0
35,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application [Metadata note: time only relative to the application.],-329.0
36,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application [Metadata note: time only relative to the application.],-323.0
37,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,0.0
